state,Unnamed: 0,changing,chevron,cigar,circle,cone,cross,cylinder,diamond,disk,egg,fireball,flash,formation,light,other,oval,rectangle,sphere,teardrop,triangle,unknown
ak,1060922,1.0,0.0,1.0,16.0,0.0,0.0,3.0,4.0,4.0,0.0,11.0,7.0,2.0,44.0,4.0,4.0,0.0,13.0,0.0,12.0,7.0
al,2184278,4.0,2.0,3.0,25.0,0.0,3.0,7.0,7.0,4.0,4.0,21.0,8.0,8.0,52.0,9.0,8.0,0.0,18.0,3.0,15.0,13.0
ar,1933016,1.0,3.0,5.0,22.0,0.0,0.0,3.0,3.0,11.0,1.0,10.0,4.0,5.0,38.0,11.0,5.0,3.0,9.0,4.0,22.0,14.0
az,6811010,24.0,5.0,8.0,83.0,4.0,3.0,8.0,4.0,24.0,4.0,75.0,11.0,29.0,156.0,48.0,34.0,13.0,58.0,9.0,42.0,56.0
ca,26982446,77.0,34.0,33.0,264.0,8.0,8.0,38.0,41.0,121.0,13.0,274.0,57.0,89.0,562.0,149.0,126.0,42.0,210.0,26.0,211.0,170.0
co,4363013,13.0,12.0,8.0,42.0,2.0,1.0,6.0,5.0,18.0,4.0,36.0,8.0,13.0,87.0,24.0,22.0,8.0,37.0,3.0,41.0,26.0
ct,4379995,7.0,4.0,12.0,46.0,2.0,2.0,6.0,7.0,9.0,1.0,58.0,7.0,10.0,82.0,25.0,19.0,9.0,20.0,4.0,26.0,30.0
dc,97725,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
de,659092,1.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,4.0,11.0,4.0,2.0,0.0,9.0,1.0,7.0,3.0
fl,14373376,35.0,20.0,18.0,183.0,4.0,6.0,21.0,25.0,47.0,6.0,266.0,24.0,39.0,300.0,84.0,71.0,22.0,123.0,14.0,100.0,97.0
ga,4327559,8.0,3.0,12.0,51.0,1.0,2.0,8.0,6.0,13.0,3.0,56.0,4.0,10.0,79.0,33.0,19.0,6.0,35.0,2.0,42.0,29.0
hi,1062991,2.0,1.0,1.0,14.0,2.0,0.0,3.0,1.0,3.0,1.0,21.0,4.0,3.0,31.0,4.0,7.0,0.0,8.0,0.0,4.0,3.0
ia,2752890,8.0,1.0,3.0,32.0,1.0,0.0,3.0,5.0,8.0,2.0,25.0,5.0,8.0,70.0,12.0,6.0,0.0,10.0,0.0,37.0,10.0
id,2544379,6.0,4.0,2.0,31.0,1.0,2.0,2.0,2.0,8.0,1.0,21.0,8.0,5.0,61.0,14.0,5.0,4.0,19.0,1.0,20.0,8.0
il,9926855,18.0,6.0,15.0,107.0,6.0,2.0,10.0,8.0,29.0,9.0,116.0,7.0,26.0,155.0,47.0,34.0,14.0,58.0,5.0,88.0,42.0
in,5250662,7.0,4.0,7.0,43.0,1.0,1.0,8.0,6.0,20.0,3.0,59.0,3.0,12.0,87.0,15.0,20.0,6.0,34.0,3.0,46.0,37.0
ks,2290840,2.0,1.0,5.0,17.0,1.0,4.0,5.0,3.0,4.0,1.0,24.0,2.0,6.0,44.0,15.0,9.0,4.0,18.0,3.0,12.0,12.0
ky,3386285,5.0,2.0,10.0,37.0,0.0,0.0,4.0,2.0,8.0,1.0,37.0,3.0,5.0,51.0,15.0,7.0,5.0,26.0,1.0,36.0,21.0
la,1637386,3.0,1.0,4.0,21.0,0.0,0.0,3.0,1.0,4.0,0.0,19.0,3.0,5.0,38.0,10.0,7.0,0.0,13.0,3.0,19.0,6.0
ma,5483737,6.0,6.0,8.0,60.0,2.0,1.0,7.0,8.0,18.0,4.0,55.0,12.0,12.0,109.0,26.0,29.0,10.0,33.0,4.0,51.0,36.0
md,3344991,7.0,2.0,9.0,51.0,0.0,0.0,3.0,3.0,12.0,2.0,23.0,10.0,13.0,70.0,13.0,17.0,3.0,29.0,1.0,38.0,22.0
me,2620156,3.0,1.0,3.0,33.0,0.0,3.0,3.0,4.0,6.0,0.0,27.0,5.0,4.0,53.0,14.0,14.0,2.0,13.0,2.0,20.0,10.0
mi,7283735,10.0,1.0,9.0,49.0,0.0,0.0,11.0,10.0,21.0,6.0,86.0,11.0,18.0,135.0,28.0,24.0,10.0,47.0,9.0,64.0,39.0
mn,4608465,7.0,3.0,7.0,55.0,0.0,3.0,3.0,6.0,13.0,3.0,31.0,4.0,20.0,77.0,22.0,18.0,9.0,33.0,4.0,43.0,24.0
mo,5272745,12.0,10.0,11.0,47.0,2.0,2.0,5.0,7.0,29.0,1.0,67.0,4.0,10.0,96.0,33.0,17.0,5.0,40.0,3.0,51.0,27.0
ms,1082907,1.0,0.0,1.0,22.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0,3.0,2.0,24.0,7.0,2.0,2.0,7.0,0.0,15.0,9.0
mt,2083514,5.0,3.0,2.0,12.0,0.0,0.0,0.0,6.0,5.0,2.0,24.0,8.0,5.0,48.0,11.0,11.0,1.0,12.0,0.0,17.0,19.0
nc,7845218,14.0,5.0,10.0,103.0,3.0,5.0,11.0,8.0,25.0,6.0,58.0,7.0,34.0,163.0,48.0,24.0,11.0,59.0,7.0,74.0,46.0
nd,426248,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,3.0,2.0,0.0,0.0,1.0,7.0,0.0
ne,1531839,1.0,2.0,0.0,18.0,0.0,1.0,3.0,4.0,5.0,0.0,11.0,0.0,0.0,30.0,9.0,2.0,4.0,14.0,2.0,7.0,10.0
nh,2082621,4.0,3.0,5.0,24.0,2.0,0.0,4.0,3.0,5.0,1.0,19.0,1.0,6.0,46.0,9.0,7.0,3.0,21.0,4.0,22.0,12.0
nj,4801673,5.0,4.0,4.0,36.0,2.0,1.0,6.0,8.0,16.0,3.0,69.0,7.0,12.0,94.0,30.0,19.0,3.0,28.0,2.0,38.0,26.0
nm,2168125,10.0,1.0,2.0,19.0,4.0,1.0,7.0,6.0,7.0,5.0,15.0,8.0,7.0,46.0,24.0,7.0,6.0,12.0,3.0,10.0,19.0
nv,2423742,5.0,2.0,6.0,22.0,1.0,1.0,3.0,2.0,8.0,0.0,23.0,8.0,9.0,42.0,14.0,19.0,5.0,18.0,3.0,15.0,16.0
ny,11465711,20.0,5.0,15.0,126.0,4.0,1.0,13.0,18.0,28.0,6.0,155.0,23.0,24.0,203.0,51.0,43.0,8.0,59.0,9.0,74.0,60.0
oh,10138922,13.0,5.0,9.0,120.0,4.0,2.0,11.0,11.0,23.0,8.0,151.0,8.0,33.0,160.0,42.0,33.0,12.0,82.0,8.0,77.0,50.0
ok,2809062,5.0,2.0,6.0,32.0,1.0,1.0,4.0,1.0,14.0,1.0,22.0,2.0,11.0,57.0,15.0,11.0,5.0,14.0,5.0,21.0,20.0
or,6277042,9.0,4.0,6.0,72.0,1.0,5.0,9.0,5.0,11.0,4.0,56.0,13.0,18.0,150.0,32.0,22.0,6.0,41.0,6.0,36.0,45.0
pa,9719251,19.0,2.0,14.0,121.0,3.0,1.0,7.0,10.0,25.0,6.0,132.0,11.0,34.0,192.0,41.0,38.0,15.0,63.0,10.0,60.0,70.0
ri,925816,0.0,0.0,2.0,13.0,0.0,0.0,2.0,4.0,4.0,0.0,15.0,0.0,3.0,16.0,7.0,1.0,1.0,4.0,2.0,5.0,7.0
sc,5324129,21.0,0.0,12.0,58.0,1.0,2.0,5.0,4.0,15.0,1.0,60.0,9.0,29.0,120.0,24.0,17.0,4.0,34.0,1.0,45.0,31.0
sd,723268,1.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0,21.0,7.0,3.0,1.0,1.0,0.0,7.0,6.0
tn,4285368,5.0,3.0,16.0,49.0,2.0,0.0,18.0,8.0,15.0,4.0,48.0,4.0,10.0,63.0,22.0,19.0,10.0,34.0,4.0,35.0,29.0
tx,9589060,30.0,13.0,17.0,98.0,2.0,5.0,10.0,10.0,37.0,5.0,81.0,19.0,28.0,182.0,58.0,50.0,20.0,71.0,10.0,106.0,69.0
ut,2637788,9.0,4.0,4.0,30.0,1.0,0.0,1.0,2.0,13.0,3.0,23.0,8.0,10.0,69.0,13.0,8.0,7.0,17.0,0.0,17.0,15.0
va,4967422,15.0,6.0,13.0,56.0,0.0,1.0,7.0,12.0,20.0,4.0,40.0,10.0,21.0,106.0,24.0,23.0,2.0,45.0,1.0,53.0,40.0
vt,1377094,3.0,1.0,3.0,17.0,0.0,2.0,3.0,1.0,2.0,0.0,21.0,3.0,6.0,33.0,8.0,7.0,3.0,16.0,1.0,13.0,4.0
wa,14795607,26.0,10.0,10.0,119.0,11.0,3.0,10.0,17.0,34.0,9.0,159.0,28.0,44.0,313.0,71.0,67.0,15.0,106.0,7.0,90.0,81.0
wi,5516608,7.0,2.0,9.0,54.0,1.0,0.0,4.0,12.0,9.0,0.0,72.0,9.0,24.0,102.0,25.0,13.0,8.0,33.0,1.0,46.0,44.0
wv,1859318,3.0,3.0,4.0,13.0,0.0,2.0,6.0,1.0,2.0,1.0,9.0,3.0,7.0,40.0,7.0,15.0,3.0,7.0,2.0,18.0,15.0
wy,625113,1.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,22.0,3.0,0.0,0.0,6.0,0.0,3.0,2.0
